source,published_date,updated,byline,title,abstract,des_facet,org_facet,per_facet,geo_facet
New York Times,2023-03-01,2023-03-05 22:33:17,By Connie Chang,5 Exercises to Keep an Aging Body Strong and Fit,Declines in muscle and bone strength start earlier than you might think. Build a smart workout habit now.,"['Exercise', 'Content Type: Service', 'Elderly', 'Age, Chronological', 'Muscles', 'Heart', 'Legs', 'internal-sub-only']",[],[],[]
New York Times,2023-02-25,2023-03-03 08:47:35,By Carolyn Todd,REM Sleep Is Magical. Here’s What the Experts Know.,"Dreaming, memory-making, problem-solving: A lot happens during the most active sleep phase","['Sleep', 'Brain', 'Parasomnias (Sleep Disorders)', 'Research', 'Content Type: Service', 'internal-sub-only']",[],[],[]
New York Times,2023-02-26,2023-03-04 08:03:16,By Sameer Yasir and Saumya Khandelwal,Kung Fu Nuns of Nepal Smash Convention,"In Himalayan Buddhism, the religious roles of nuns have long been restricted by rules and customs. But one sect is changing that, mixing meditation with martial arts and environmental activism.","['Nuns', 'Martial Arts', 'Buddhism', 'Gender', 'Monasteries and Monks', 'Women and Girls', ""Women's Rights""]","['Kung Fu Nuns (Drupka)', 'Druk Amitabha Mountain Nunnery (Nepal)']",[],"['Nepal', 'Kathmandu (Nepal)', 'Himalayas']"
New York Times,2023-03-01,2023-03-01 15:02:04,By Eva Holland,This Revolutionary Stroke Treatment Will Save Millions of Lives. Eventually.,"A procedure called EVT is creating radically better outcomes for patients, but only when it’s performed quickly enough — and that requires the transformation of an entire system of care.","['Stroke', 'Emergency Medical Treatment', 'Hemorrhagic Stroke', 'Stents (Medical Devices)', 'Catheters', 'Brain', 'Medical Devices']",[],[],"['Alberta (Canada)', 'Bangladesh']"
New York Times,2023-02-28,2023-02-28 22:56:55,By Thomas L. Friedman,Netanyahu Is Shattering Israeli Society,Prime Minister Benjamin Netanyahu’s attack on the judiciary is throwing Israel into chaos.,"['Israeli Settlements', 'Palestinians']","['Supreme Court of Israel', 'Jewish Home Party (Israel)', 'Mossad']","['Barak, Ehud', 'Netanyahu, Benjamin']",['Israel']
New York Times,2023-02-25,2023-02-28 18:16:01,By Hannah Dreier and Kirsten Luce,"Alone and Exploited, Migrant Children Work Brutal Jobs Across the U.S.","Arriving in record numbers, they’re ending up in dangerous jobs that violate child labor laws — including in factories that make products for well-known brands like Cheetos and Fruit of the Loom.","['Child Labor', 'Immigration and Emigration', 'Workplace Hazards and Violations', 'Forced Labor', 'Factories and Manufacturing', 'Meatpacking Plants and Slaughterhouses', 'Working Hours', 'Migrant Labor (Agriculture)', 'Migrant Labor (Non-Agriculture)', 'Remittances', 'Children and Childhood']","['Health and Human Services Department', 'Hearthside Food Solutions LLC']",[],"['United States', 'Central America']"
New York Times,2023-03-02,2023-03-04 12:07:35,By David Brooks,The Power of Art in a Political Age,Searching for beauty as the world turns ugly.,"['Culture (Arts)', 'Art', 'Books and Literature', 'Philosophy', 'Music']",[],[],[]
New York Times,2023-03-01,2023-03-05 13:44:18,By Michael Levenson,Whiskey Fungus Fed by Jack Daniel’s Encrusts a Tennessee Town,"The dark growth, fed by alcohol vapors from barrels of aging Jack Daniel’s whiskey, has coated homes, cars, patio furniture and road signs in a sooty crust, residents said. One woman is suing Lincoln County.","['Whiskey', 'Fungi', 'Factories and Manufacturing', 'Suits and Litigation (Civil)']","['Jack Daniel Distillery (Lynchburg, Tenn)']",[],['Lincoln County (Tenn)']
New York Times,2023-03-02,2023-03-05 14:00:34,By Dan Barry,"Once the World’s Largest, a Hotel Goes ‘Poof!’ Before Our Eyes","The Hotel Pennsylvania in Manhattan was a virtual city within a city. But in the end, nothing could save it.","['Historic Buildings and Sites', 'Architecture', 'Demolition', 'Area Planning and Renewal', 'Real Estate (Commercial)', 'Hotels and Travel Lodgings', 'internal-sub-only', 'vis-photo', 'audio-neutral-immersive']","['Hotel Pennsylvania', 'Vornado Realty Trust', 'McKim, Mead & White']",[],"['Midtown Area (Manhattan, NY)']"
New York Times,2023-02-28,2023-03-01 12:19:33,By Julia Moskin,How to Make Great Beef Stew? Here’s a World of Wisdom.,"Every culture has its own versions of the classic dish. Cooking our way through these recipes, we found some basic lessons for any aspiring stew chef.","['Beef', 'Cooking and Cookbooks', 'Recipes', 'Content Type: Service']",[],[],[]
New York Times,2023-02-27,2023-02-28 14:36:29,By Christina Caron,How to Feel Alive Again,"Katherine May, the best-selling author, has one simple question to help you get started.","['Emotions', 'Books and Literature', 'Mental Health and Disorders', 'internal-sub-only']",[],"['May, Katherine (Author)']",[]
New York Times,2023-02-26,2023-03-01 02:37:55,By Ezra Klein,The Imminent Danger of A.I. Is One We’re Not Talking About,We are so stuck on asking what the technology can do that we are missing the more important questions.,"['Artificial Intelligence', 'Search Engines', 'Science Fiction']","['Microsoft Corp', 'Google Inc']","['Chiang, Ted (Author)', 'Roose, Kevin']",[]
New York Times,2023-03-02,2023-03-04 01:16:59,By Donna Brazile,The Excellence of Kamala Harris Is Hiding in Plain Sight,"Has she solved every problem? No, but name one vice president who has.","['Vice Presidents and Vice Presidency (US)', 'Black People', 'Women and Girls', 'Presidential Election of 2024', 'United States Politics and Government', 'Content Type: Personal Profile']",[],"['Harris, Kamala D', 'Biden, Joseph R Jr']",[]
New York Times,2023-02-28,2023-03-05 12:54:57,By Tim McKeough,What You Should Know Before Choosing Kitchen Cabinets,It’s more complicated than you might think. Here’s what to consider before you spend a lot on the wrong ones.,"['Interior Design and Furnishings', 'Home Repairs and Improvements', 'Kitchens', 'Content Type: Service', 'Orderliness and Clutter']",[],[],[]
